Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},42968e8
calc,multiply,2427967954614,5204585621088,2,5,"{""a"":6,""b"":7}",42968e8
calc,multiply,2427988078020,5205197205906,2,5,"{""a"":2424,""b"":-242552}",42968e8
calc,multiply,2427997021756,5204885221037,2,5,"{""a"":-43222,""b"":-23422424}",42968e8
calc,multiply,2427994785822,5204852733615,2,5,"{""a"":-113444,""b"":1344114}",42968e8
calc,multiply,2427985842086,5205027661987,2,5,"{""a"":0,""b"":133944141}",42968e8
calc,multiply,2427997021756,5205522544490,2,5,"{""a"":31333,""b"":-144422424}",42968e8
calc,multiply,2428005965492,5205724469674,2,5,"{""a"":2424422442,""b"":242456969}",42968e8
calc,multiply,2428008201426,5205163750020,2,5,"{""a"":-42343435435,""b"":-2444224}",42968e8
calc,multiply,2427985842086,5205494987395,2,5,"{""a"":424242424,""b"":0}",42968e8
calc,multiply,2427967954614,5205826649583,2,5,"{""a"":0,""b"":0}",42968e8
bench,cpu_ram_soak_test,2427999257690,107108606736040,2,107,"{""loop_limit"":100}",42968e8
bench,cpu_ram_soak_test,2427999257690,126548685504040,2,126,"{""loop_limit"":500}",42968e8
bench,cpu_ram_soak_test,2428001493624,150848841134142,2,150,"{""loop_limit"":1000}",42968e8
bench,cpu_ram_soak_test,2428001493624,175148939594142,2,175,"{""loop_limit"":1500}",42968e8
bench,cpu_ram_soak_test,2428001493624,199449038054142,2,199,"{""loop_limit"":2000}",42968e8
bench,cpu_ram_soak_test,2428001493624,248049234974142,2,248,"{""loop_limit"":3000}",42968e8
bench-mini,cpu_ram_soak_test,2428001493624,224421460541370,2,224,"{""loop_limit"":5000}",42968e8
bench-mini,cpu_ram_soak_test,2428001493624,136769972837370,2,136,"{""loop_limit"":3000}",42968e8
bench-mini,cpu_ram_soak_test,2428001493624,92944228985370,2,92,"{""loop_limit"":2000}",42968e8
bench-mini,cpu_ram_soak_test,2428001493624,49118485133370,2,49,"{""loop_limit"":1000}",42968e8
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,49922378482260,2,49,"{""loop_limit"":1000}",42968e8
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,28043593760158,2,28,"{""loop_limit"":500}",42968e8
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,10540611718558,2,10,"{""loop_limit"":100}",42968e8
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,48171443790720,2,48,"{""loop_limit"":1000}",42968e8
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,26678943010618,2,26,"{""loop_limit"":500}",42968e8
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9484988122618,2,9,"{""loop_limit"":100}",42968e8
